id,cost,category,name,brand,retail_price,department,sku,distribution_center_id,product_id
14115,4.8795598793798689,Accessories,Enzyme Regular Solid Army Caps-Black W35S45D,MG,10.989999771118164,Women,EE364229B2791D1EF9355708EFF0BA34,1,14115
14157,4.648769887297898,Accessories,Enzyme Regular Solid Army Caps-Olive W35S45D (One Size),MG,10.989999771118164,Women,00BD13095D06C20B11A2993CA419D16B,1,14157
14273,6.507929886473045,Accessories,Washed Canvas Ivy Cap - Black W11S64C,MG,15.989999771118164,Women,F531DC20FDE20B7ADF3A73F52B71D0AF,1,14273
15674,3.1062499998370185,Plus,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,Women,63894CE404B8C652915C41EF8B879D20,1,15674
15816,3.1772999091416594,Plus,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.9499998092651367,Women,151EA8C2D98CE89C2336324C11B1E107,1,15816
28646,8.73562987972319,Accessories,4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki),MG,19.989999771118164,Men,789334DE6DAA80D83AB4ACB6A4BF5AC7,1,28646
28670,2.6759399153566363,Accessories,Low Profile Dyed Cotton Twill Cap - Black W39S55D,MG,6.179999828338623,Men,E74843B99DA8B29775C6AA9080436844,1,28670
28714,2.275000000372529,Accessories,Low Profile Dyed Cotton Twill Cap - Khaki W39S55D,MG,6.25,Men,8CA33D44648CC9FEECEF21E5A7123291,1,28714
28904,6.7957498848550015,Accessories,Fashion Plaid Ivy Cap - Blue W10S69F,MG,15.989999771118164,Men,0EBD0B8B51EB0D0062065A7657486C8E,1,28904
12777,16.691290760814255,Swim,Womens MW Tankini Boyshorts Swimsuit Swimwear Crisscross Back Multiple Prints S-xxl,MW,44.9900016784668,Women,553C3741E8D893FE9789A3EB8A162821,1,12777
12810,21.055320884742144,Swim,Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints,MW,44.9900016784668,Women,5A1106FCB6C23317695F2F619988EF41,1,12810
12812,21.14530090284795,Swim,Womens long tankini bikini swimsuit Marina West 2 piece multiple prints bra straps,MW,44.9900016784668,Women,179DB74797BDE5F379B623AB73EE7C64,1,12812
13477,22.600890809484422,Swim,MW Women's Swimsuit Two Piece Black Tankini with Bikini Bottoms,MW,54.9900016784668,Women,DBC50898CF582DFEBD6D7ADF4EAF9EB6,1,13477
2848,20.946700439925493,Active,2XU Women's Compression Recovery Sock,2XU,44.950000762939446,Women,5A2756A3CB9CDE852CAD3C97E120B656,1,2848
9041,20.479500227209176,Socks & Hosiery,2XU Women's Compression Race Sock,2XU,49.950000762939446,Women,70D355680E628FE1C552221F690D8DA4,1,9041
13122,68.737372014259108,Swim,2XU Women's Swimmers Compression Long Sleeve Top,2XU,150.41000366210938,Women,8922176F5043C3196357E6E8D2D50852,1,13122
18147,17.069900398133232,Active,2XU Non-Stirrup Compression Calf Guard,2XU,40.450000762939446,Men,41371BE284C70C592049717C38E42081,1,18147
18363,65.0955812367481,Active,2XU Men's Compression Recovery Tights,2XU,159.94000244140625,Men,0029F088C57AD3B6EC589F9BA4F7A057,1,18363
18394,22.977000395610929,Active,2XU Men's Compression Race Sock,2XU,49.950000762939446,Men,87549E74D3546183365AD3F438A48FC4,1,18394
18465,27.240000218153,Active,2XU Men's Elite Compression Performance Sock,2XU,60.0,Men,C3EC22F418B0A5CFC919DE3E41411D38,1,18465
18593,17.00110065520704,Active,2XU Men's Compression Recovery Sock,2XU,43.150001525878906,Men,4F9604E8959AF0FAA3BA6316B5CD1B23,1,18593
18607,30.636169286714789,Active,2XU Men's Compression 3/4 Tights,2XU,79.989997863769531,Men,CC397301371EEC5A48FB375CE4CE7BCE,1,18607
18644,41.287679069824208,Active,2XU Men's Elite Compression Long Sleeve Top,2XU,107.51999664306641,Men,94B6CE9C1DBB412DCC36E2850627056F,1,18644
18664,25.838450432452561,Active,2XU Recovery Compression Leg Sleeves,2XU,59.950000762939446,Men,4148DBFEFE2CEF3F36B4866A1485E1EC,1,18664
18708,42.597260613372327,Active,2XU Men's Thermal Compression Long Sleeve Top,2XU,111.22000122070312,Men,C64107E33AA9FEE83D57501F9A672344,1,18708
